name,gender
اوشهنگ,M
اوشیدر,M
اوكتای,M
اولاد,M
اولدوز,F
اویتا,F
اویس,M
اویسا,F
اوین,both
اوینار,F
اهرن,M
اهورا,M
اهورا مزدا,M
اهوراداد,M
اهورامزد,M
ایاز,M
ایبك,M
ایپك,F
ایتكین,M
ایثار,M
ایدا,F
ایدون,M
ایده,F
ایران,F
ایران پناه,M
ایران ناز,F
ایرانا,F
ایرانبانو,F
ایرانپور,M
ایراندخت,F
ایرانشاه,M
ایرانشید,F
ایرانمهر,both
ایرانه,F
ایرج,M
ایرسا,F
ایرن,F
ایریك,M
ایزد,M
ایزد پناه,M
ایزدبد,M
ایزدچهر,F
ایزدداد,M
ایزدگشسپ,M
ایزدیار,M
ایسَدواستَر,M
ایساتیس,both
ایسیه,F
ایشا,M
ایشتار,F
ایلا,M
ایلار,F
ایلانا,F
ایلدرم,M
ایلدیریم,M
ایلقار,both
ایلكین,M
ایلگار,M
ایلماز,M
ایلناز,F
ایلیا,M
ایلیار,M
ایلیاس,M
ایلیكا,F
ایلیم,F
ایما,F
ایمان,M
ایمنه,F
ایناز,F
ایناس,F
ایواز,F
ایوان,F
ایوب,M
ائلمان,M
ائیریا,M
آباد,M
آبادان,M
آبادیس,M
آباریس,M
آباقا,M
آباگران,M
آبان,M
آبان آسا,F
آبان دخت,F
آبان دیس,F
آبان زاد,M
آبان سا,F
آبان سار,both
آبان فام,F
آبان مهر,F
آبان یاد,M
آبانداد,both
آبانك,F
آبانه,F
آبتاب,F
آبتین,M
آبد,M
آبدست,M
آبدوس,M
آبدیس,F
آبدین,M
آبرام,M
آبراهام,M
آبرخ,F
آبرلی,M
آبرنگ,F
آبرو,M
آبرود,F
آبروشن,F
آبرون,F
آبسال,both
آبسالان,F
آبستا,M
آبش,M
آبشار,F
آبشن,F
آبكار,M
آبگل,F
آبگون,F
آبگین,both
آبگینه,F
آبلاتكا,M
آبلوج,F
آبناز,F
آبنوس,F
آبنوش,F
آبو,M
آبی,M
آبیار,M
آبیژ,F
آپادا,M
آپاداش,M
آپادیپا,F
آپاسای,M
آپام,F
آپاما,F
آپامنه,F
آپامه,F
آپگیا,F
آپگیتی,F
آپنیتا,M
آپیشن,F
آتا,M
آتاباللی,M
آتابای,M
آتابیك,M
آتابیگ,M
آتاقلیچ,M
آتاگلدی,M
آتامكین,M
آتان,M
آتاناز,F
آتبین,both
آتجان,M
آتر,F
آترا,F
آترابان,M
آتربان,M
آتردین,M
آتروان,M
آتروپات,M
آترون,M
آتری,F
آتریسا,F
آترین,both
آترینا,F
آترینه,M
آتسا,F
آتسز,M
آتش,both
آتش برزین,M
آتش پا,M
آتشبان,M
آتشبند,both
آتشپاره,F
آتشدخت,F
آتشرخ,both
آتشزاد,M
آتشفام,F
آتشك,F
آتشكار,M
آتشگون,F
آتشه,F
